,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
174,COARTEM,all-concat,all,83,134,73,61.0,10,0.5447761194029851,0.8795180722891566,0.6728110599078341
175,COARTEM,all-concat,exact-meddra,78,134,73,,5,,0.9358974358974359,
176,COARTEM,all-concat,non-meddra,5,134,0,,5,,0.0,
177,APTIOM,adverse reactions,all,42,71,33,38.0,9,0.4647887323943662,0.7857142857142857,0.584070796460177
178,APTIOM,adverse reactions,exact-meddra,34,71,33,,1,,0.9705882352941176,
179,APTIOM,adverse reactions,non-meddra,8,71,0,,8,,0.0,
180,APTIOM,adverse reactions,discontinuous,1,71,0,,1,,0.0,
181,APTIOM,warnings and precautions,all,86,94,50,44.0,36,0.5319148936170213,0.5813953488372093,0.5555555555555555
182,APTIOM,warnings and precautions,exact-meddra,48,94,47,,1,,0.9791666666666666,
183,APTIOM,warnings and precautions,non-meddra,38,94,3,,35,,0.07894736842105263,
184,APTIOM,warnings and precautions,negated,9,94,4,,5,,0.4444444444444444,
185,APTIOM,warnings and precautions,discontinuous,8,94,1,,7,,0.125,
186,APTIOM,all-concat,all,102,125,64,61.0,38,0.512,0.6274509803921569,0.5638766519823789
187,APTIOM,all-concat,exact-meddra,62,125,61,,1,,0.9838709677419355,
188,APTIOM,all-concat,non-meddra,40,125,3,,37,,0.075,
189,APTIOM,all-concat,negated,9,125,4,,5,,0.4444444444444444,
190,APTIOM,all-concat,discontinuous,8,125,1,,7,,0.125,
191,PROLIA,adverse reactions,all,70,111,43,68.0,27,0.38738738738738737,0.6142857142857143,0.4751381215469613
192,PROLIA,adverse reactions,exact-meddra,43,111,43,,0,,1.0,
193,PROLIA,adverse reactions,non-meddra,27,111,0,,27,,0.0,
194,PROLIA,adverse reactions,negated,3,111,1,,2,,0.3333333333333333,
195,PROLIA,adverse reactions,discontinuous,8,111,0,,8,,0.0,
196,PROLIA,warnings and precautions,all,39,72,12,60.0,27,0.16666666666666666,0.3076923076923077,0.21621621621621623
197,PROLIA,warnings and precautions,exact-meddra,14,72,12,,2,,0.8571428571428571,
198,PROLIA,warnings and precautions,non-meddra,25,72,0,,25,,0.0,
199,PROLIA,warnings and precautions,discontinuous,9,72,0,,9,,0.0,
200,PROLIA,all-concat,all,92,139,48,91.0,44,0.34532374100719426,0.5217391304347826,0.4155844155844156
201,PROLIA,all-concat,exact-meddra,49,139,48,,1,,0.9795918367346939,
202,PROLIA,all-concat,non-meddra,43,139,0,,43,,0.0,
203,PROLIA,all-concat,negated,3,139,1,,2,,0.3333333333333333,
204,PROLIA,all-concat,discontinuous,16,139,1,,15,,0.0625,
205,BLINCYTO,adverse reactions,all,94,123,77,46.0,17,0.6260162601626016,0.8191489361702128,0.7096774193548387
